lat,lon,name
49.248634,-123.115722,King Edward Station @ Bay 4
49.242949,-123.118428,Southbound Cambie St @ W 31 Ave
49.24075,-123.118651,Southbound Cambie St @ W 33 Ave
49.238762,-123.116678,Southbound Cambie St @ W 35 Ave
49.237007,-123.11629,Southbound Cambie St @ W 37 Ave
49.282203,-123.098943,Eastbound E Cordova St @ Main St
49.282136,-123.094846,Eastbound E Cordova St @ Dunlevy Ave
49.282067,-123.091063,Eastbound E Cordova St @ Princess Ave
49.282672,-123.081697,Eastbound Powell St @ Glen Dr
49.283029,-123.076625,Eastbound Powell St @ Clark Dr
49.283885,-123.069837,Eastbound Powell St @ Commercial Dr
49.284771,-123.065065,Eastbound Powell St @ Victoria Dr
49.284754,-123.061245,Eastbound Dundas St @ Lakewood Dr
49.284738,-123.059274,Eastbound Dundas St @ Templeton Dr
49.285176,-123.05639,Northbound N Nanaimo St @ Dundas St
49.288013,-123.056367,Northbound N Nanaimo St @ Eton St
49.288627,-123.051421,Eastbound McGill St @ N Penticton St
49.288617,-123.048823,Eastbound McGill St @ N Slocan St
49.287774,-123.044683,Westbound Eton St @ N Renfrew St
49.288595,-123.0434,Eastbound McGill St @ N Renfrew St
49.288825,-123.044601,Westbound McGill St @ N Renfrew St
49.237021,-123.12785,Northbound Oak St @ W 38 Ave
49.241748,-123.12769,Northbound Oak St @ W 33 Ave
49.244894,-123.127493,Northbound Oak St @ Devonshire Cres
49.247506,-123.12749,Northbound Oak St @ W 27 Ave
49.249632,-123.127357,Northbound Oak St @ W King Edward Ave
49.251967,-123.127311,Northbound Oak St @ W 22 Ave
49.253935,-123.127236,Northbound Oak St @ W 20 Ave
49.256575,-123.127109,Northbound Oak St @ W 17 Ave
49.26354,-123.129369,Westbound W Broadway @ Spruce St
49.263576,-123.131742,Westbound W Broadway @ Alder St
49.233905,-123.115953,Oakridge-41st Ave Station @ Bay 6
49.237495,-123.1158,Northbound Cambie St @ W 37 Ave
49.241409,-123.11818,Northbound Cambie St @ W 33 Ave
49.249415,-123.115245,King Edward Station @ Bay 2
49.251472,-123.115164,Northbound Cambie St @ W 22 Ave
49.253243,-123.115102,Northbound Cambie St @ W 20 Ave
49.255125,-123.115019,Northbound Cambie St @ W 18 Ave
49.257158,-123.114908,Northbound Cambie St @ W 16 Ave
49.258988,-123.114893,Northbound Cambie St @ W 14 Ave
49.260758,-123.114831,Northbound Cambie St @ W 12 Ave
49.264648,-123.114622,Northbound Cambie St @ W 7th Ave
49.28882,-123.047415,Westbound McGill St @ N Kaslo St
49.288801,-123.052418,Westbound McGill St @ N Penticton St
49.288026,-123.05666,Southbound N Nanaimo St @ McGill St
49.286276,-123.056672,Southbound N Nanaimo St @ Cambridge St
49.284885,-123.057411,Westbound Dundas St @ N Garden Dr
49.284871,-123.060143,Westbound Dundas St @ N Templeton Dr
49.284888,-123.063271,Westbound Dundas St @ Wall St
49.2848,-123.065973,Westbound Powell St @ Victoria Dr
49.281362,-123.071174,Westbound E Hastings St @ Commercial Dr
49.281378,-123.074606,Westbound E Hastings St @ McLean Dr
49.281445,-123.077888,Westbound E Hastings St @ Clark Dr
49.281111,-123.081789,Westbound E Hastings St @ Glen Dr
49.281155,-123.085249,Westbound E Hastings St @ Campbell Ave
49.281321,-123.093904,Westbound E Hastings St @ Jackson Ave
49.281356,-123.095847,Westbound E Hastings St @ Dunlevy Ave
49.283837,-123.070862,Westbound Powell St @ Commercial Dr
49.282792,-123.081659,Westbound Powell St @ Glen Dr
49.28303,-123.087522,Westbound Powell St @ Hawks Ave
49.283076,-123.089941,Westbound Powell St @ Heatley Ave
49.283146,-123.093725,Westbound Powell St @ Jackson Ave
49.283223,-123.098134,Westbound Powell St @ Gore Ave
49.280329,-123.100047,Eastbound E Pender St @ Main St
49.284039,-123.115939,Southbound Granville St @ W Pender St
49.27941,-123.12295,Southbound Granville St @ Nelson St
49.276786,-123.126905,Southbound Granville St @ Davie St
49.275854,-123.128375,Southbound Granville St @ Drake St
49.266837,-123.139046,Westbound W Cloverleaf @ Granville St
49.26511,-123.138634,Southbound Granville St @ W 7th Ave
49.263732,-123.140158,Westbound W Broadway @ Granville St
49.261424,-123.138768,Southbound Granville St @ W 11 Ave
49.259524,-123.138834,Southbound Granville St @ W 13 Ave
49.257667,-123.138899,Southbound Granville St @ W 15 Ave
49.254178,-123.13903,Southbound Granville St @ Angus Dr
49.252781,-123.139073,Southbound Granville St @ Matthews Ave
49.2505,-123.139186,Southbound Granville St @ Laurier Ave
49.244793,-123.139357,Southbound Granville St @ N Connaught Dr
49.243251,-123.139408,Southbound Granville St @ W 32 Ave
49.241525,-123.139454,Southbound Granville St @ W 33 Ave
49.239615,-123.139528,Southbound Granville St @ W 35 Ave
49.237706,-123.139593,Southbound Granville St @ W 37 Ave
49.235947,-123.139659,Southbound Granville St @ S Connaught Dr
49.235048,-123.139751,Southbound Granville St @ W 40 Ave
49.263769,-123.143781,Westbound W Broadway @ Pine St
49.263829,-123.146302,Westbound W Broadway @ Burrard St
49.263962,-123.155724,Westbound W Broadway @ Yew St
49.264051,-123.160487,Westbound W Broadway @ Balsam St
49.264113,-123.165212,Westbound W Broadway @ Trafalgar St
49.264174,-123.168896,Westbound W Broadway @ Macdonald St
49.264221,-123.171711,Westbound W Broadway @ Bayswater St
49.264241,-123.174408,Westbound W Broadway @ Balaclava St
49.264311,-123.178243,Westbound W Broadway @ Blenheim St
49.264377,-123.182257,Westbound W Broadway @ Collingwood St
49.263644,-123.191417,Westbound W 10 Ave @ Wallace St
49.263683,-123.194468,Westbound W 10 Ave @ Crown St
49.263725,-123.197332,Westbound W 10 Ave @ Camosun St
49.263781,-123.200725,Westbound W 10 Ave @ Courtenay St
49.263828,-123.203438,Westbound W 10 Ave @ Discovery St
49.263863,-123.206461,Westbound W 10 Ave @ Trimble St
49.263966,-123.212506,Westbound W 10 Ave @ Tolmie St
49.268039,-123.141569,Westbound W 4th Ave @ Fir St
49.268106,-123.146085,Westbound W 4th Ave @ Burrard St
49.268224,-123.153127,Westbound W 4th Ave @ Arbutus St
49.26833,-123.160246,Westbound W 4th Ave @ Balsam St
49.268401,-123.164962,Westbound W 4th Ave @ Trafalgar St
49.268459,-123.168863,Westbound W 4th Ave @ Macdonald St
49.268528,-123.174217,Westbound W 4th Ave @ Balaclava St
49.268578,-123.178075,Westbound W 4th Ave @ Blenheim St
49.268649,-123.182096,Westbound W 4th Ave @ Collingwood St
49.26871,-123.186254,Westbound W 4th Ave @ Alma St
49.268794,-123.191056,Westbound W 4th Ave @ Wallace St
49.268917,-123.197836,Westbound W 4th Ave @ 4100 Block
49.268604,-123.200584,Westbound W 4th Ave @ NW Marine Dr
49.269028,-123.206426,Westbound W 4th Ave @ Trimble St
49.269083,-123.209399,Westbound W 4th Ave @ Sasamat St
49.268693,-123.215183,Southbound Blanca St @ W 4th Ave
49.265146,-123.215302,Blanca Loop @ Bay 2
49.264016,-123.215915,Westbound University Blvd @ Blanca St
49.263693,-123.229837,Westbound University Blvd @ 5100 Block
49.265815,-123.235541,Westbound University Blvd @ 5300 Block
49.267024,-123.239311,Westbound University Blvd @ Acadia Rd
49.287084,-123.141411,Westbound Davie St @ Denman St
49.290911,-123.136163,Northbound Denman St @ Haro St
49.29023,-123.133644,Eastbound Robson St @ Bidwell St
49.285774,-123.126771,Eastbound Robson St @ Bute St
49.234,-123.116425,Southbound Cambie St @ W 41 Ave
49.279145,-123.116259,Westbound Robson St @ Hamilton St
49.283556,-123.123086,Westbound Robson St @ Burrard St
49.286249,-123.127216,Westbound Robson St @ Bute St
49.288152,-123.130152,Westbound Robson St @ Broughton St
49.289693,-123.132542,Westbound Robson St @ Cardero St
49.29124,-123.135926,Southbound Denman St @ Robson St
49.289924,-123.137908,Southbound Denman St @ Barclay St
49.288522,-123.140021,Southbound Denman St @ Comox St
49.287773,-123.141166,Southbound Denman St @ Pendrell St
49.286705,-123.141124,Eastbound Davie St @ Denman St
49.285009,-123.13847,Eastbound Davie St @ Cardero St
49.284219,-123.13726,Eastbound Davie St @ Nicola St
49.282579,-123.13477,Eastbound Davie St @ Jervis St
49.28144,-123.132973,Eastbound Davie St @ Bute St
49.280147,-123.13096,Eastbound Davie St @ Thurlow St
49.234593,-123.18575,Dunbar Loop @ Bay 2
49.232934,-123.098854,Eastbound E 41 Ave @ Sophia St
49.23287,-123.094138,Eastbound E 41 Ave @ St. George St
49.232769,-123.090022,Eastbound E 41 Ave @ Fraser St
49.232764,-123.087361,Eastbound E 41 Ave @ Prince Albert St
49.232721,-123.08434,Eastbound E 41 Ave @ Windsor St
49.232677,-123.080668,Eastbound E 41 Ave @ Sherbrooke St
49.232598,-123.076419,Eastbound E 41 Ave @ Knight St
49.23257,-123.072487,Eastbound E 41 Ave @ Fleming St
49.232543,-123.069616,Eastbound E 41 Ave @ Bruce St
49.233152,-123.065403,Northbound Victoria Dr @ E 41 Ave
49.234784,-123.065348,Northbound Victoria Dr @ E 39 Ave
49.236203,-123.065307,Northbound Victoria Dr @ E 38 Ave
49.237698,-123.065288,Northbound Victoria Dr @ E 36 Ave
49.24032,-123.065188,Northbound Victoria Dr @ E 33 Ave
49.241893,-123.065138,Northbound Victoria Dr @ E 32 Ave
49.244828,-123.065039,Northbound Victoria Dr @ Kingsway
49.244769,-123.064604,Eastbound Kingsway @ Victoria Dr
49.241611,-123.057829,Eastbound Kingsway @ Nanaimo St
49.23969,-123.053631,Eastbound Kingsway @ Slocan St
49.24028,-123.053651,Northbound Slocan St @ Kingsway
49.241686,-123.052298,Northbound Slocan St @ Ward St
49.243511,-123.050495,Northbound Slocan St @ Euclid Ave
49.250756,-123.050472,Westbound E 22 Ave @ Slocan St
49.264644,-123.185714,Northbound Alma St @ W Broadway
49.266385,-123.185659,Northbound Alma St @ W 7th Ave
49.284388,-123.05668,Southbound Nanaimo St @ Dundas St
49.280782,-123.056725,Southbound Nanaimo St @ E Hastings St
49.277149,-123.056711,Southbound Nanaimo St @ Adanac St
49.27362,-123.056724,Southbound Nanaimo St @ William St
49.269138,-123.05673,Southbound Nanaimo St @ E 1st Ave
49.267411,-123.056736,Southbound Nanaimo St @ E 3rd Ave
49.265535,-123.056743,Southbound Nanaimo St @ E 5th Ave
49.26234,-123.057336,Westbound E Broadway @ Nanaimo St
49.261831,-123.056764,Southbound Nanaimo St @ E Broadway
49.254756,-123.056762,Southbound Nanaimo St @ E 17 Ave
49.252026,-123.056768,Southbound Nanaimo St @ E 20 Ave
49.250268,-123.056774,Southbound Nanaimo St @ E 22 Ave
49.248412,-123.055476,Nanaimo Station @ Bay 3
49.280463,-123.100688,Westbound E Pender St @ Main St
49.250547,-123.055999,Eastbound E 22 Ave @ Nanaimo St
49.24424,-123.050004,Southbound Slocan St @ E 29 Ave
49.242186,-123.052022,Southbound Slocan St @ Norquay St
49.240309,-123.054367,Westbound Kingsway @ Slocan St
49.242199,-123.0585,Westbound Kingsway @ Nanaimo St
49.244809,-123.0653,Southbound Victoria Dr @ Kingsway
49.24251,-123.065373,Southbound Victoria Dr @ E 31 Ave
49.239661,-123.065469,Southbound Victoria Dr @ E 33 Ave
49.237254,-123.065531,Southbound Victoria Dr @ E 36 Ave
49.232771,-123.06615,Westbound E 41 Ave @ Victoria Dr
49.232719,-123.069244,Westbound E 41 Ave @ Commercial St
49.232845,-123.077938,Westbound E 41 Ave @ Knight St
49.232846,-123.080303,Westbound E 41 Ave @ Inverness St
