name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating
2 bdrm in COMPLETLY RENOVATED HOME BY CANADA LINE,https://www.airbnb.com/rooms/2046259,"Vancouver, British Columbia, Canada",49.23573,-123.10819,219.0,Entire home/apt,4.43
Cozy Modern apartment in Yaletown,https://www.airbnb.com/rooms/2056676,,49.27393,-123.11599,110.0,Entire home/apt,4.49
Gorgeous New House Double Ensuite,https://www.airbnb.com/rooms/2084273,"Vancouver, British Columbia, Canada",49.24976,-123.03547,75.0,Private room,4.84
A spacious modern apartment,https://www.airbnb.com/rooms/2092610,"Vancouver, British Columbia, Canada",49.2655,-123.0969,150.0,Entire home/apt,4.73
Gorgeous New House Single Ensuite,https://www.airbnb.com/rooms/2106364,"Vancouver, British Columbia, Canada",49.24958,-123.0359,65.0,Private room,4.81
good sized bedroom on second floor,https://www.airbnb.com/rooms/2108899,"Vancouver, British Columbia, Canada",49.26933,-123.16177,48.0,Private room,4.7
small room with single bed by beach,https://www.airbnb.com/rooms/2109035,"Vancouver, British Columbia, Canada",49.26791,-123.16117,35.0,Private room,5.0
# C -Private Studio 20 min to Downtown Vancouver,https://www.airbnb.com/rooms/2145092,"Burnaby, British Columbia, Canada",49.25317,-123.01296,103.0,Entire home/apt,4.76
Garden Patio condo near Downtown transit central,https://www.airbnb.com/rooms/2163742,"Vancouver, British Columbia, Canada",49.26199,-123.07408,91.0,Private room,4.81
South Granville 2 bedroom townhome,https://www.airbnb.com/rooms/2168943,,49.25972,-123.14269,175.0,Entire home/apt,4.93
Kitsilano PENTHOUSE,https://www.airbnb.com/rooms/2183209,"Vancouver, British Columbia, Canada",49.26597,-123.15633,150.0,Entire home/apt,4.75
5 star Luxury ShangriLa hotel condo,https://www.airbnb.com/rooms/2188113,"Vancouver, British Columbia, Canada",49.28514,-123.12275,300.0,Entire home/apt,4.86
Gorgeous home in Yaletown,https://www.airbnb.com/rooms/2198419,"Vancouver, British Columbia, Canada",49.2773,-123.12294,115.0,Entire home/apt,4.94
Bright Kitsilano Garden Apartment,https://www.airbnb.com/rooms/2216062,,49.26992,-123.18596,105.0,Entire home/apt,4.96
Perfect spot for your next family vacation,https://www.airbnb.com/rooms/2282114,"Vancouver, British Columbia, Canada",49.23792,-123.18224,750.0,Entire home/apt,5.0
Cozy Vancouver Suite near a park and transit,https://www.airbnb.com/rooms/2361393,"Vancouver, British Columbia, Canada",49.239,-123.08606,95.0,Entire home/apt,4.67
Gem Modern Apartment in Yaletown,https://www.airbnb.com/rooms/2365994,,49.28298,-123.12339,95.0,Entire home/apt,4.84
Vancouver Quality Coach House,https://www.airbnb.com/rooms/2454353,"Vancouver, British Columbia, Canada",49.23748,-123.08735,125.0,Entire home/apt,4.97
Monthly- Marinaside Ocean View Apartment -Yaletown,https://www.airbnb.com/rooms/2468591,"Vancouver, British Columbia, Canada",49.27449,-123.11679,150.0,Entire home/apt,4.67
Kits beach garden apartment. PETS+Children Welcome,https://www.airbnb.com/rooms/2472791,"Vancouver, British Columbia, Canada",49.27075,-123.1541,275.0,Entire home/apt,4.6
New Edwardian home,https://www.airbnb.com/rooms/2502137,"Vancouver, British Columbia, Canada",49.25877,-123.08299,95.0,Entire home/apt,4.94
"Bright 1 bed suite, great location",https://www.airbnb.com/rooms/2576878,"Vancouver, British Columbia, Canada",49.25865,-123.12294,106.0,Entire home/apt,4.83
Ann's Place,https://www.airbnb.com/rooms/2592307,"Vancouver, British Columbia, Canada",49.25222,-123.1186,112.0,Entire home/apt,4.92
