stop_no,stop_name,line_con,Longitude,Latitude,x,y
58621,Southbound N Grandview Hwy @ E 8th Ave,009,-123.067725,49.262833,-13699836.480086625,6319576.899842571
58647,Westbound SE Marine Dr @ Poplar St,008; N8,-123.092844,49.211133,-13702632.71437586,6310762.475448681
58650,Eastbound W 41 Ave @ Crown St,041,-123.194664,49.23468,-13713967.26492843,6314775.901016046
58652,Westbound E Hastings St @ Lakewood Dr,014; 016; N35,-123.062205,49.28127,-13699221.996497445,6322722.490196256
58661,Eastbound W 2nd Ave @ Anderson St,050,-123.138366,49.269468,-13707700.20023575,6320708.781141406
58704,Westbound W Georgia St @ Bute St,250; 253; 254,-123.125666,49.287499,-13706286.442702675,6323785.503826773
58705,Westbound W Georgia St @ Burrard St,250; 253; 254; 257,-123.121726,49.284954,-13705847.843908953,6323351.169141822
58706,Westbound McGill St @ N Esmond Ave,131,-123.022039,49.288414,-13694750.737830242,6323941.664998252
58707,Northbound MacDonald Ave @ Albert St,131; 132,-123.016137,49.281716,-13694093.73019558,6322798.5981235495
58721,Southbound Burrard St @ Burnaby St,044,-123.130164,49.278573,-13706787.157772264,6322262.273740772
58722,Eastbound W Georgia St @ Gilford St,019; 240; 241; 246; 247; 250; 253; 254; N24,-123.135601,49.293655,-13707392.401843706,6324836.191556162
58723,Northbound Arbutus St @ W 16 Ave,016,-123.152846,49.257604,-13709312.106462436,6318684.978838312
58727,Stanley Park Loop @ Bay 1,019,-123.133742,49.300494,-13707185.458910324,6326003.605561602
58728,Stanley Park Loop @ Bay 2,019,-123.13403,49.300672,-13707217.518923672,6326033.992238912
58735,Westbound Marine Dr @ Hollis Place,148,-122.997213,49.207683,-13691987.120151808,6310174.607056181
58762,Southbound Fraser St @ SE Marine Dr,008,-123.091221,49.211303,-13702452.042842302,6310791.443937254
58893,Westbound W Pender St @ Burrard St,019,-123.118031,49.286833,-13705436.51839047,6323671.840796494
58895,UBC Exchange @ Bay 9,009,-123.248724,49.265726,-13719985.196600713,6320070.40525766
58953,Westbound E 10 Ave @ Kingsway,009,-123.099601,49.26203,-13703384.90017515,6319439.924381932
58954,Southbound Fraser St @ E 31 Ave,008; N8,-123.090417,49.242261,-13702362.541971704,6316068.437875999
58955,Northbound Fraser St @ E 31 Ave,008; N8,-123.090196,49.242872,-13702337.94036424,6316172.620110829
58962,Northbound Joffre Ave @ Carson St,116; 146,-123.019815,49.210668,-13694503.163282717,6310683.238621178
58988,Westbound Kingsway @ Nelson Ave,119; 144; N19,-122.995118,49.227163,-13691753.905818598,6313494.471807923
59040,Westbound Robson St @ Granville St,017; 020,-123.119551,49.28128,-13705605.724016476,6322724.196644484
59041,Southbound Main St @ E 41 Ave,003,-123.101636,49.232735,-13703611.435338914,6314444.316558193
59042,63 Ave Loop @ Granville St,010; 016,-123.140853,49.21392,-13707977.051809356,6311237.40082908
59094,Westbound E 41 Ave @ Fleming St,041,-123.07324,49.232762,-13700450.407078348,6314448.9194407435
59102,Westbound W 49 Ave @ Maple St,049,-123.152702,49.227195,-13709296.07645576,6313499.926461173
59103,Eastbound W 49 Ave @ Maple St,049,-123.151905,49.227063,-13709207.354821602,6313477.426039291
59128,Westbound Canada Way @ Smith Ave,028,-123.021521,49.254781,-13694693.074334012,6318203.493351521
59129,Northbound Smith Ave @ Linwood St,028,-123.019687,49.253539,-13694488.9143879,6317991.668926824
59133,Westbound Kincaid St @ Ingleton Ave,025; 129,-123.01717,49.248874,-13694208.723229568,6317196.095801346
59299,Eastbound North Fraser Way @ 5000 Block,116,-123.004741,49.200111,-13692825.1332785,6308884.507528863
59300,Eastbound North Fraser Way @ Glenlyon Parkway West,116,-123.009524,49.200053,-13693357.574402966,6308874.626387784
59317,Eastbound E 49 Ave @ Kerr St,049; 430,-123.040479,49.224659,-13696803.469240472,6313067.6561445035
59318,Westbound E 49 Ave @ Tyne St,049; 430,-123.032636,49.224736,-13695930.390474178,6313080.780744727
59390,Westbound Pacific St @ Jervis St,023,-123.138406,49.280964,-13707704.653015384,6322670.27304786
59391,Westbound Beach Ave @ Bute St,023,-123.137338,49.279589,-13707585.763799217,6322435.641167528
59392,Westbound Beach Ave @ Thurlow St,023,-123.135648,49.277896,-13707397.633859776,6322146.754318104
59393,Westbound Beach Ave @ Hornby St,023,-123.132974,49.275543,-13707099.965541394,6321745.264137383
59396,Westbound Beach Ave @ Howe St,023,-123.132056,49.274962,-13706997.774248848,6321646.131601377
59402,Southbound Smith Ave @ Fir St,028; 129,-123.019856,49.244604,-13694507.72738184,6316467.952208335
59420,Eastbound Davie St @ Broughton St,006,-123.136106,49.283478,-13707448.618186558,6323099.282361541
59431,Eastbound W Broadway @ Spruce St,009; N9,-123.128317,49.263296,-13706581.550672768,6319655.879234596
59434,Westbound E 49 Ave @ Vivian St,049,-123.050858,49.224856,-13697958.854235414,6313101.234707931
59489,Eastbound SW Marine Dr @ Wesbrook Mall,049,-123.233387,49.244611,-13718277.889570417,6316469.145834825
59513,Eastbound W Georgia St @ Hamilton St,250; 253; 254,-123.114489,49.280019,-13705042.224754082,6322509.016252553
59525,Westbound Water St @ Abbott St,050,-123.107364,49.28411,-13704249.073382178,6323207.135398628
59536,Southbound Main St @ E 28 Ave,003,-123.101378,49.245403,-13703582.71491029,6316604.197239208
59538,Southbound Main St @ E 59 Ave,003,-123.102076,49.216491,-13703660.41591486,6311675.54195903
59558,Westbound Dunsmuir St @ Cambie St,257,-123.112004,49.280837,-13704765.59581946,6322648.601319972
59560,Eastbound Marine Dr @ 4900 Block,100; 148,-122.993675,49.207204,-13691593.271793382,6310092.990310811
59576,Northbound N Boundary Rd @ Eton St,131,-123.023214,49.287718,-13694881.538231922,6323822.879843345
59580,Southbound Main St @ E 2nd Ave,003; 008; 019; N19; N8,-123.100898,49.268688,-13703529.28155471,6320575.711088991
59581,Northbound Main St @ E 16 Ave,003,-123.101068,49.256943,-13703548.205868144,6318572.237471992
59582,Northbound Main St @ E 14 Ave,003,-123.100989,49.258782,-13703539.411628371,6318885.904411388
