name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food
Family-Friendly Kitsilano House with Mountain Views,https://www.airbnb.com/rooms/1113551,"Vancouver, British Columbia, Canada",49.26008,-123.15989,560.0,Entire home/apt,4.83,0,0
*Best choice in downtown-5 Stars * -3,https://www.airbnb.com/rooms/1118858,,49.28239,-123.13021,85.0,Private room,4.54,0,21638
Yaletown/Downtown  1 Bedroom Condo,https://www.airbnb.com/rooms/1126273,,49.28119,-123.12033,99.0,Entire home/apt,0.0,66,1552729
2 Bdrm in Strathcona,https://www.airbnb.com/rooms/1141457,,49.27925,-123.08814,180.0,Entire home/apt,4.75,0,0
Bright & Tidy Character Apartment,https://www.airbnb.com/rooms/1162198,"Vancouver, British Columbia, Canada",49.2726,-123.06988,50.0,Private room,4.69,0,0
Cozy space in East Vancouver,https://www.airbnb.com/rooms/1178149,"Vancouver, British Columbia, Canada",49.26957,-123.04828,90.0,Entire home/apt,4.91,0,0
Elegant Main floor House Vancouver,https://www.airbnb.com/rooms/1187929,"Vancouver, British Columbia, Canada",49.24965,-123.07027,175.0,Entire home/apt,4.83,0,0
Beautiful Kitsilano Character home. Great Location,https://www.airbnb.com/rooms/1191143,,49.26716,-123.17653,416.0,Entire home/apt,4.73,0,0
Cool cozy place on The Drive w central A/C!,https://www.airbnb.com/rooms/1214617,"Vancouver, British Columbia, Canada",49.26731,-123.06909,229.0,Entire home/apt,4.87,0,0
Stunning Suite Heart of DT w/Parking and Office,https://www.airbnb.com/rooms/1223989,"Vancouver, British Columbia, Canada",49.27843,-123.12901,135.0,Entire home/apt,4.85,33,503495
Brand new 3 bedroom home in central Vancouver,https://www.airbnb.com/rooms/1229506,,49.26596,-123.06844,520.0,Entire home/apt,4.9,0,0
Private Hotel-Style Suite in a Downtown Boutique High-Rise,https://www.airbnb.com/rooms/1273760,"Vancouver, British Columbia, Canada",49.28478,-123.1192,252.0,Private room,4.86,0,1172120
Clean New Kits 3 bedroom/ 2bath!,https://www.airbnb.com/rooms/1291394,"Vancouver, British Columbia, Canada",49.26889,-123.18543,150.0,Entire home/apt,4.9,0,0
"Beautiful Mount Pleasant home, close to everything",https://www.airbnb.com/rooms/1309315,"Vancouver, British Columbia, Canada",49.26719,-123.10982,399.0,Entire home/apt,4.29,0,0
120 501 Pacific,https://www.airbnb.com/rooms/1316419,"Vancouver, British Columbia, Canada",49.28279,-123.1222,72.0,Entire home/apt,4.5,34,969912
224 Yaletown Park.  Long term stay welcome,https://www.airbnb.com/rooms/1316477,"Vancouver, British Columbia, Canada",49.27859,-123.11993,95.0,Entire home/apt,4.86,154,1624284
Cosy 1 bedroom apt Mount Pleasant,https://www.airbnb.com/rooms/1324743,"Vancouver, British Columbia, Canada",49.25909,-123.10415,92.0,Entire home/apt,4.6,0,0
Close to Anywhere: Location Location Location,https://www.airbnb.com/rooms/1343411,"Vancouver, British Columbia, Canada",49.27627,-123.10013,95.0,Entire home/apt,4.7,0,48
*Best choice in downtown-5 Stars* -1,https://www.airbnb.com/rooms/1343519,,49.28247,-123.13068,85.0,Private room,4.45,0,20001
Ultra Modern Apartment in Yaletow,https://www.airbnb.com/rooms/1360765,,49.284,-123.11432,97.0,Entire home/apt,4.75,0,1679199
Private space in heritage home in lovely area,https://www.airbnb.com/rooms/1361276,"Vancouver, British Columbia, Canada",49.25808,-123.07538,150.0,Entire home/apt,4.69,0,0
AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,https://www.airbnb.com/rooms/1365609,"Vancouver, British Columbia, Canada",49.27932,-123.12911,278.0,Entire home/apt,4.88,38,500371
QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,https://www.airbnb.com/rooms/1378220,"Vancouver, British Columbia, Canada",49.26026,-123.20135,122.0,Entire home/apt,4.68,0,0
"Luxury 2Bd, 2Offices, amazing views, gym and pool",https://www.airbnb.com/rooms/1393599,"Vancouver, British Columbia, Canada",49.27392665039039,-123.10068941104272,200.0,Entire home/apt,,0,0
Stunning 1 Bedroom Laneway,https://www.airbnb.com/rooms/1398788,"Vancouver, British Columbia, Canada",49.23968,-123.16762,134.0,Entire home/apt,4.9,0,0
Luxury 2 BDR With Wrap Around Deck,https://www.airbnb.com/rooms/1399744,"Vancouver, British Columbia, Canada",49.26964,-123.11064,450.0,Entire home/apt,4.75,0,0
Renovated Character Home - 3 Bdrm,https://www.airbnb.com/rooms/1417881,"Vancouver, British Columbia, Canada",49.26732,-123.06827,349.0,Entire home/apt,4.86,0,0
UBC CAMPUS cozy student bdrm apt share with host,https://www.airbnb.com/rooms/1442216,"Vancouver, British Columbia, Canada",49.25826,-123.23352,162.0,Private room,4.86,0,0
One Bedroom & Secured Underground Parking,https://www.airbnb.com/rooms/1466647,"Vancouver, British Columbia, Canada",49.28164,-123.11006,199.0,Entire home/apt,4.23,4,1073363
244 -2 BEDROOM. WATER VIEW! 6 MONTH EXTENDED STAY,https://www.airbnb.com/rooms/1502887,"Vancouver, British Columbia, Canada",49.29014,-123.12716,129.0,Entire home/apt,4.8,0,30030
Modern new room with private entry!,https://www.airbnb.com/rooms/1507975,"Vancouver, British Columbia, Canada",49.24882,-123.09121,81.0,Private room,4.72,0,0
"114 Studio ""West of Denman""",https://www.airbnb.com/rooms/1525113,"Vancouver, British Columbia, Canada",49.29101,-123.14085,76.0,Entire home/apt,4.42,0,27975
Deluxe Kitsilano Beach Waterfront 2 Bedroom House,https://www.airbnb.com/rooms/1565861,"Vancouver, British Columbia, Canada",49.27383,-123.15362,450.0,Entire home/apt,4.92,0,0
Lakeside Cottage with Stunning View,https://www.airbnb.com/rooms/1610084,"Vancouver, British Columbia, Canada",49.25936,-123.06131,172.0,Entire home/apt,4.87,0,0
Private top floor on vibrant Main St,https://www.airbnb.com/rooms/1623556,"Vancouver, British Columbia, Canada",49.25259,-123.09292,92.0,Entire home/apt,4.67,0,0
Garden Suite-Quiet/Private&Central,https://www.airbnb.com/rooms/1629480,"Vancouver, British Columbia, Canada",49.25225,-123.10756,85.0,Entire home/apt,4.82,0,0
Amazing 2000sq ft Downtown loft 3 patios + Parking,https://www.airbnb.com/rooms/1657214,"Vancouver, British Columbia, Canada",49.28167,-123.10984,250.0,Entire home/apt,5.0,4,1092783
Beautiful Kitsilano Apartment..,https://www.airbnb.com/rooms/1703616,"Vancouver, British Columbia, Canada",49.26548,-123.14579,156.0,Entire home/apt,4.0,0,0
2 Bedroom Garden Flat - Main Street,https://www.airbnb.com/rooms/1717967,"Vancouver, British Columbia, Canada",49.24778,-123.09867,186.0,Entire home/apt,4.92,0,0
DT Ocean view with luxury amenities and parking,https://www.airbnb.com/rooms/1733307,"Vancouver, British Columbia, Canada",49.27781,-123.10637,288.0,Entire home/apt,4.9,0,18930
SoMa Suite - Main Street Cool,https://www.airbnb.com/rooms/1768817,"Vancouver, British Columbia, Canada",49.24489,-123.10302,105.0,Entire home/apt,4.87,0,0
Yaletown high rise studio,https://www.airbnb.com/rooms/1778529,"Vancouver, British Columbia, Canada",49.27695,-123.11922,93.0,Entire home/apt,4.46,67,1118581
