,name,Longitude,Latitude
321,Southbound N Nanaimo St @ McGill St,-123.05666,49.288026
322,Southbound N Nanaimo St @ Cambridge St,-123.056672,49.286276
323,Westbound Dundas St @ N Garden Dr,-123.057411,49.284885
324,Westbound Dundas St @ N Templeton Dr,-123.060143,49.284871
325,Westbound Dundas St @ Wall St,-123.063271,49.284888
326,Westbound Powell St @ Victoria Dr,-123.065973,49.2848
327,Westbound E Hastings St @ Commercial Dr,-123.071174,49.281362
328,Westbound E Hastings St @ McLean Dr,-123.074606,49.281378
329,Westbound E Hastings St @ Clark Dr,-123.077888,49.281445
330,Westbound E Hastings St @ Glen Dr,-123.081789,49.281111
331,Westbound E Hastings St @ Campbell Ave,-123.085249,49.281155
332,Westbound E Hastings St @ Jackson Ave,-123.093904,49.281321
333,Westbound E Hastings St @ Dunlevy Ave,-123.095847,49.281356
334,Westbound Powell St @ Commercial Dr,-123.070862,49.283837
335,Westbound Powell St @ Glen Dr,-123.081659,49.282792
336,Westbound Powell St @ Hawks Ave,-123.087522,49.28303
337,Westbound Powell St @ Heatley Ave,-123.089941,49.283076
338,Westbound Powell St @ Jackson Ave,-123.093725,49.283146
339,Westbound Powell St @ Gore Ave,-123.098134,49.283223
340,Eastbound E Pender St @ Main St,-123.100047,49.280329
341,Southbound Granville St @ W Pender St,-123.115939,49.284039
342,Southbound Granville St @ Nelson St,-123.12295,49.27941
343,Southbound Granville St @ Davie St,-123.126905,49.276786
344,Southbound Granville St @ Drake St,-123.128375,49.275854
345,Westbound W Cloverleaf @ Granville St,-123.139046,49.266837
346,Southbound Granville St @ W 7th Ave,-123.138634,49.26511
347,Westbound W Broadway @ Granville St,-123.140158,49.263732
348,Southbound Granville St @ W 11 Ave,-123.138768,49.261424
349,Southbound Granville St @ W 13 Ave,-123.138834,49.259524
350,Southbound Granville St @ W 15 Ave,-123.138899,49.257667
351,Southbound Granville St @ Angus Dr,-123.13903,49.254178
352,Southbound Granville St @ Matthews Ave,-123.139073,49.252781
