name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,point
"Private Quiet Studio in the HEART of ""The Drive""",https://www.airbnb.com/rooms/35304,,49.2729,-123.06973,109.0,Entire home/apt,4.73,POINT (-123.06973 49.2729)
The Charlie Downtown by COMFYSUITES,https://www.airbnb.com/rooms/42645,"Vancouver, British Columbia, Canada",49.28036,-123.1234,169.0,Entire home/apt,4.79,POINT (-123.1234 49.28036)
Executive Furnished Apartment (2 months minimum),https://www.airbnb.com/rooms/48146,"Vancouver, British Columbia, Canada",49.23653,-123.02664,110.0,Entire home/apt,,POINT (-123.02664 49.23653)
Boutique Studio Apartment in Kits!,https://www.airbnb.com/rooms/49736,"Vancouver, British Columbia, Canada",49.26778,-123.14674,1950.0,Entire home/apt,4.89,POINT (-123.14674 49.26778)
Yaletown 1 Bedroom Condo,https://www.airbnb.com/rooms/54261,,49.27462,-123.12426,89.0,Entire home/apt,4.85,POINT (-123.12426 49.27462)
"Open-concept, Modern Heritage Home with over 20 Skylights",https://www.airbnb.com/rooms/70453,"Vancouver, British Columbia, Canada",49.27836,-123.08716,592.0,Entire home/apt,4.94,POINT (-123.08716 49.27836)
Central Convenient Vibrant Neighbourhood!,https://www.airbnb.com/rooms/72659,,49.27345,-123.07031,210.0,Entire home/apt,4.91,POINT (-123.07031 49.27345)
Amazing Downtown Vancouver Condo!,https://www.airbnb.com/rooms/73841,"Vancouver, British Columbia, Canada",49.27591,-123.12359,129.0,Entire home/apt,4.74,POINT (-123.12359 49.27591)
Room with a Garden View!,https://www.airbnb.com/rooms/77157,"Vancouver, British Columbia, Canada",49.2452,-123.16544,145.0,Entire home/apt,4.82,POINT (-123.16544 49.2452)
Your Downtown Executive Suite,https://www.airbnb.com/rooms/98830,"Vancouver, British Columbia, Canada",49.27936,-123.12443,135.0,Entire home/apt,4.88,POINT (-123.12443 49.27936)
Main Street Vineyard,https://www.airbnb.com/rooms/125176,"Vancouver, British Columbia, Canada",49.24615,-123.09462,105.0,Private room,4.69,POINT (-123.09462 49.24615)
"West view, Transit convenient, clean & comfortable",https://www.airbnb.com/rooms/134688,,49.24356,-123.04757,40.0,Private room,4.59,POINT (-123.04757 49.24356)
"1905 Heritage Loft, Main/Broadway, Olympic Village",https://www.airbnb.com/rooms/140698,"Vancouver, British Columbia, Canada",49.26382,-123.10484,99.0,Entire home/apt,4.84,POINT (-123.10484 49.26382)
Family friendly Point Grey Home,https://www.airbnb.com/rooms/170137,"Vancouver, British Columbia, Canada",49.25757,-123.18966,175.0,Entire home/apt,4.87,POINT (-123.18966 49.25757)
Charming and Homely Downtown Penthouse,https://www.airbnb.com/rooms/172827,"Vancouver, British Columbia, Canada",49.28034,-123.12648,400.0,Entire home/apt,4.86,POINT (-123.12648 49.28034)
VANCOUVER'S BEST PRIVATE SUITE/LOFT,https://www.airbnb.com/rooms/174135,"Vancouver, British Columbia, Canada",49.27857,-123.0899,90.0,Entire home/apt,4.8,POINT (-123.0899 49.27857)
KITS SUPER CENTRAL DELIGHTFULL APT!,https://www.airbnb.com/rooms/182451,"Vancouver, British Columbia, Canada",49.25808,-123.16824,131.0,Entire home/apt,4.88,POINT (-123.16824 49.25808)
A Real Gem in the Heart of Kits,https://www.airbnb.com/rooms/219261,"Vancouver, British Columbia, Canada",49.2719,-123.15043,210.0,Entire home/apt,4.58,POINT (-123.15043 49.2719)
"Stunning views, comfort, location!!",https://www.airbnb.com/rooms/248014,"Vancouver, British Columbia, Canada",49.29103,-123.05782,100.0,Entire home/apt,5.0,POINT (-123.05782 49.29103)
Heritage Loft in heart of Gastown,https://www.airbnb.com/rooms/254657,"Vancouver, British Columbia, Canada",49.28375,-123.10383,250.0,Entire home/apt,4.91,POINT (-123.10383 49.28375)
