,name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food,leisure,transportation,shop,tourism
3205,1170 Barclay St - Brand new Studio with Balcony,https://www.airbnb.com/rooms/48098117,"Vancouver, British Columbia, Canada",49.28406,-123.12878,123.0,Entire home/apt,,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3206,1170 Barclay St - Penthouse Studio with Balcony,https://www.airbnb.com/rooms/48113196,"Vancouver, British Columbia, Canada",49.28406,-123.12878,125.0,Entire home/apt,1.0,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3207,1170 Barclay St - Penthouse with Balcony,https://www.airbnb.com/rooms/48113611,"Vancouver, British Columbia, Canada",49.28406,-123.12878,125.0,Entire home/apt,,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3208,Landis Hotel and Suites (2 bedroom suites+1 Bath),https://www.airbnb.com/rooms/48118221,,49.27736,-123.1293,579.0,Private room,0.906,0.052795031055900624,0.1843427057788036,0.01592920353982301,0.04681164762255805,0.0,0.0
3209,DELUXE SUITES – 1000 SQ FT,https://www.airbnb.com/rooms/48119786,,49.27928,-123.12835,588.0,Private room,0.942,0.19254658385093168,0.30776190267124104,0.09911504424778761,0.03645746071105452,0.0,0.0
3210,Gorgeous Room with Private Washroom,https://www.airbnb.com/rooms/48124906,,49.23667,-123.11714,79.0,Private room,0.89,0.0,0.0,0.0,0.001463213037116465,0.0,0.0
3211,Home in the Sky with Gorgeous Water Views,https://www.airbnb.com/rooms/48125431,,49.27965,-123.10892,383.0,Entire home/apt,0.978,0.012422360248447204,0.1601401371893535,0.17699115044247787,0.11776072557495337,0.0033049951270423543,0.2831831831831832
3212,EXECUTIVE SUITES – 800 SQ FT,https://www.airbnb.com/rooms/48144038,,49.27901,-123.12924,579.0,Private room,0.9400000000000001,0.11801242236024845,0.2560921940888574,0.03716814159292035,0.039026460699884954,0.0,0.0
3213,"Spacious Zen 1 Bed, 5*Amenities, Location, Parking",https://www.airbnb.com/rooms/48159315,"Vancouver, British Columbia, Canada",49.28666,-123.12343,127.0,Entire home/apt,0.966,0.0,0.23070369650252867,0.0,0.07043527795462923,0.15834470627729608,0.04504504504504504
3214,Modern & Cozy Basement Suite Private Entry (25),https://www.airbnb.com/rooms/48167443,,49.212135,-123.142746,169.0,Entire home/apt,0.942,0.0,0.0,0.0,0.00022339130337655955,0.0,0.0
3215,Convenient & Cozy 1 BR Condo with good view ¹⁰,https://www.airbnb.com/rooms/48168010,,49.278839,-123.107399,246.0,Entire home/apt,0.898,0.012422360248447204,0.06331104685804602,0.11327433628318584,0.06949703448044768,0.0,0.1963963963963964
3216,Downtown 3BR/2BA High-rise SuperView+Pool+Gym+Park,https://www.airbnb.com/rooms/48174444,"Vancouver, British Columbia, Canada",49.27677,-123.10926,285.0,Entire home/apt,0.966,0.0,0.0,0.01415929203539823,0.004021043460778072,0.0,0.005705705705705706
3217,Luxe Laneway House,https://www.airbnb.com/rooms/48185684,,49.21986,-123.08982,121.0,Entire home/apt,0.96,0.0,0.0,0.0,0.0,0.0,0.0
3218,1170 Barclay Street - Brand new 2 bedrooms,https://www.airbnb.com/rooms/48190300,"Vancouver, British Columbia, Canada",49.28406,-123.12878,155.0,Entire home/apt,,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3219,"Large entire condo, Great VIEWS & location+Parking",https://www.airbnb.com/rooms/48201860,"Vancouver, British Columbia, Canada",49.27884,-123.1074,265.0,Entire home/apt,0.942,0.012422360248447204,0.06331104685804602,0.11327433628318584,0.06949703448044768,0.0,0.1963963963963964
3220,1425 Haro St - 2 Bedrooms - Downtown Vancouver,https://www.airbnb.com/rooms/48204168,"Vancouver, British Columbia, Canada",49.28658,-123.13224,160.0,Entire home/apt,,0.0,0.0024528712130239987,0.0,0.0004467826067531191,0.0,0.0
3221,Vancouver House Flexible Stays 309 (+30 days),https://www.airbnb.com/rooms/48214228,"Vancouver, British Columbia, Canada",49.274403,-123.130981,120.0,Entire home/apt,0.8400000000000001,0.0,0.0012674648820761127,0.0,0.01104669995197087,0.0,0.0075075075075075074
3222,1 BED + DEN - MODERN APARTMENT - PRIVATE ENTRANCE,https://www.airbnb.com/rooms/48215352,"Vancouver, British Columbia, Canada",49.25955,-123.12032,110.0,Entire home/apt,0.866,0.0,0.0,0.007079646017699115,0.002904086943895274,0.0,0.0
3223,Luxury Downtown Townhouse w/ 4 Patios & Parking,https://www.airbnb.com/rooms/48226623,"Vancouver, British Columbia, Canada",49.27846,-123.10954,535.0,Entire home/apt,0.9039999999999999,0.012422360248447204,0.0339638775121938,0.10619469026548672,0.04924661282936255,0.0,0.2045045045045045
3224,Vancouver House Flexible Stays 512 (+30 days),https://www.airbnb.com/rooms/48227761,"Vancouver, British Columbia, Canada",49.274403,-123.130981,120.0,Entire home/apt,0.866,0.0,0.0012674648820761127,0.0,0.01104669995197087,0.0,0.0075075075075075074
3225,Vancouver House Flexible Stays 515 (+30 days),https://www.airbnb.com/rooms/48228018,"Vancouver, British Columbia, Canada",49.274403,-123.130981,120.0,Entire home/apt,0.8,0.0,0.0012674648820761127,0.0,0.01104669995197087,0.0,0.0075075075075075074
3226,Vancouver House Flexible Stays 612 (30 days),https://www.airbnb.com/rooms/48228186,"Vancouver, British Columbia, Canada",49.274403,-123.130981,123.0,Entire home/apt,0.96,0.0,0.0012674648820761127,0.0,0.01104669995197087,0.0,0.0075075075075075074
3227,Vancouver House Flexible Stays 707 (+30 days),https://www.airbnb.com/rooms/48228391,"Vancouver, British Columbia, Canada",49.274403,-123.130981,123.0,Entire home/apt,0.866,0.0,0.0012674648820761127,0.0,0.01104669995197087,0.0,0.0075075075075075074
3228,Mount Pleasant 1 Bedroom Condo,https://www.airbnb.com/rooms/48229558,"Vancouver, British Columbia, Canada",49.2622,-123.0912,120.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3229,Fully Furnished One Bedroom Downtown Vancouver,https://www.airbnb.com/rooms/48242718,"Vancouver, British Columbia, Canada",49.27294,-123.12649,110.0,Entire home/apt,,0.0,0.024356232373091487,0.007079646017699115,0.018027678182488356,0.0,0.0
3230,Clean/Spacious Apartment in Vancouver East,https://www.airbnb.com/rooms/48243511,,49.27149,-123.04099,101.0,Entire home/apt,0.966,0.0,0.0,0.0,0.0,0.0,0.0
3231,Modern 2 Bd apartment with stunning Mountain Views,https://www.airbnb.com/rooms/48244780,,49.28217,-123.08344,255.0,Entire home/apt,0.9460000000000001,0.0,0.0,0.0,0.0,0.0,0.0
3232,"Bright, Airy Garden Suite in East Vancouver",https://www.airbnb.com/rooms/48258110,,49.2527,-123.062,140.0,Entire home/apt,0.986,0.0,0.0,0.0,0.0,0.0,0.0
3233,Modern downtown 2b/2b/parking in trendy Chinatown,https://www.airbnb.com/rooms/48258797,"Vancouver, British Columbia, Canada",49.27877,-123.0995,250.0,Entire home/apt,0.968,0.0,0.00180581079075174,0.0,0.04285762155279295,0.0,0.0
3234,Entire Downtown Vancouver condo with scenic view!,https://www.airbnb.com/rooms/48258965,,49.27867,-123.1085,408.0,Entire home/apt,0.974,0.012422360248447204,0.04680003010555761,0.11327433628318584,0.06473879971852696,0.0,0.22342342342342342
3235,Lovely Suite in House to Enjoy in East Van,https://www.airbnb.com/rooms/48280301,"Vancouver, British Columbia, Canada",49.25299,-123.05986,110.0,Entire home/apt,0.8859999999999999,0.0,0.0,0.0,0.0,0.0,0.0
3236,1B Beautiful room in Vancouver (Female only),https://www.airbnb.com/rooms/48301713,,49.2232,-123.06303,23.0,Private room,0.7,0.0,0.0,0.0,0.0006925130404673346,0.0,0.0
3237,Luxury townhouse in heart of downtown across park,https://www.airbnb.com/rooms/48310359,"Vancouver, British Columbia, Canada",49.27618,-123.12412,193.0,Entire home/apt,0.95,0.2515527950310559,0.6455452137390058,0.5221238938053098,0.05996939539143741,0.00024385109151812747,0.0
3238,"Cozy, Vintage Vibe, Super Clean, Commercial Drive!",https://www.airbnb.com/rooms/48311778,"Vancouver, British Columbia, Canada",49.27532,-123.05847,124.0,Entire home/apt,0.978,0.0,0.0,0.0,0.0,0.0,0.0
3239,Stanley Park Beach Getaway,https://www.airbnb.com/rooms/48319859,"Vancouver, British Columbia, Canada",49.29148,-123.14048,175.0,Entire home/apt,,0.0,0.012480217094520997,0.0,0.0,0.0,0.0
3240,The Humble Palace,https://www.airbnb.com/rooms/48343866,"Vancouver, British Columbia, Canada",49.27807,-123.12173,361.0,Entire home/apt,0.982,0.7329192546583851,0.9733048375867887,0.815929203539823,0.019725452088150207,0.02343083854700514,0.012612612612612612
3241,"Spacious 2 bedroom, 2 bathroom, heated pool & gym",https://www.airbnb.com/rooms/48360409,,49.27915,-123.12704,1000.0,Entire home/apt,1.0,0.577639751552795,0.40144768009499976,0.3309734513274336,0.036077695495314366,0.0,0.0
3242,Downtown Condo Next to Rogers Arena+Free Parking,https://www.airbnb.com/rooms/48364237,"Vancouver, British Columbia, Canada",49.27846,-123.10899,281.0,Entire home/apt,0.9339999999999999,0.012422360248447204,0.03446041014640918,0.10619469026548672,0.051234795429413935,0.0,0.2048048048048048
3243,WATERFRONT KITSILANO BEACH / 2BR Cozy Suite,https://www.airbnb.com/rooms/48369124,"Vancouver, British Columbia, Canada",49.2743,-123.15123,392.0,Entire home/apt,0.9339999999999999,0.0,0.0,0.0,0.0,0.0,0.0
3244,Lux 1 bdrm private condo DT Vancouver w/ AC/Pool,https://www.airbnb.com/rooms/48380631,"Vancouver, British Columbia, Canada",49.27455,-123.13219,350.0,Entire home/apt,1.0,0.027950310559006212,0.0,0.0,0.004054552156284556,0.0,0.013813813813813814
3245,WATERFRONT KITSILANO BEACH / 2BR Modern Suite,https://www.airbnb.com/rooms/48384060,"Vancouver, British Columbia, Canada",49.274,-123.15117,279.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3246,Gorgeous laneway house on Vancouver's west side,https://www.airbnb.com/rooms/48384111,"Vancouver, British Columbia, Canada",49.26087,-123.19215,185.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3247,Spacious Modern 1BD Unit,https://www.airbnb.com/rooms/48395477,,49.24561,-123.09003,139.0,Entire home/apt,,0.0,0.0,0.0,0.0,0.0,0.0
3248,Luxury condo downtown Vancouver,https://www.airbnb.com/rooms/48406680,,49.27734,-123.12945,59.0,Entire home/apt,0.2,0.052795031055900624,0.1742562986471315,0.01592920353982301,0.045337265020272764,0.0,0.0
3249,🕊Gorgeous 1BR w/ Parking- Close to YVR/DT Skytrain,https://www.airbnb.com/rooms/48431021,"Vancouver, British Columbia, Canada",49.21001,-123.11529,120.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3250,"2 Bedroom, 2 Bathroom, 1000 sq ft. Heated Pool",https://www.airbnb.com/rooms/48438954,,49.27717,-123.12697,675.0,Entire home/apt,1.0,0.14596273291925466,0.46258443668111315,0.19469026548672566,0.07532754749857588,0.0,0.0
3251,"2 Bedroom, 2 Bathroom Penthouse, 1450 sq ft,",https://www.airbnb.com/rooms/48440082,,49.279,-123.12874,650.0,Entire home/apt,,0.14596273291925466,0.28405482138414484,0.07256637168141593,0.04291346937863709,0.0,0.0
3252,Cozy and Bright Fully Furnished One Bedroom,https://www.airbnb.com/rooms/48441604,"Vancouver, British Columbia, Canada",49.26574,-123.14715,208.0,Entire home/apt,0.9800000000000001,0.0,0.0,0.0,0.0,0.0,0.0
3253,🌹Luxury Stay & Stunning Views🌹1bed/1bath,https://www.airbnb.com/rooms/48468582,"Vancouver, British Columbia, Canada",49.27371,-123.12721,274.0,Entire home/apt,1.0,0.0,0.0535288312980722,0.007079646017699115,0.0346926694143797,0.0,0.0
3254,Spacious 1 bdrm SLPS 4 ctrl DT-Free parking,https://www.airbnb.com/rooms/48473757,"Vancouver, British Columbia, Canada",49.28107,-123.12299,226.0,Entire home/apt,0.9720000000000001,0.6677018633540373,0.563643462390005,0.647787610619469,0.0685476214410973,0.5677015977936353,0.13033033033033034
3255,Kits Ground Lvl Condo-Clean and Private(30 days+)!,https://www.airbnb.com/rooms/48487736,,49.265,-123.15854,95.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3256,Welcome Aboard Your Own Vintage Yacht!,https://www.airbnb.com/rooms/48488468,"Vancouver, British Columbia, Canada",49.27551,-123.10783,209.0,Entire home/apt,0.9480000000000001,0.0,0.0,0.0,0.0,0.0,0.0
